"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,22,32,"B095C42KYH",false,459.99,"USD",0,0,0,31,4.2,"https://www.amazon.com/dp/B095C42KYH","130.20",false,false,false,false,"Sponsored Ad - 4k Portable Touchscreen Monitor, 15.6"" 100% Adobe 10bit Auto-Rotating UHD Computer Monitor with Dual Speake...","https://m.media-amazon.com/images/I/81zZzwnCMXL._AC_UY218_.jpg"
2,11,33,"B08GXD4L2V",false,12.99,"USD",0,0,0,400,4.1,"https://www.amazon.com/dp/B08GXD4L2V","1640.00",false,false,false,false,"Sponsored Ad - Paddles for PS4 Controller,IWGAME Controller Back Button Attachment","https://m.media-amazon.com/images/I/51aneKOBztL._AC_UY218_.jpg"
2,12,34,"B09H2CDMDR",false,23.99,"USD",0,0,0,5,5,"https://www.amazon.com/dp/B09H2CDMDR","25.00",false,false,false,false,"Sponsored Ad - ORDA Wireless Game Controller Compatible with PS4/PS-4 Pro/PC- White","https://m.media-amazon.com/images/I/51mW3PcPuuL._AC_UY218_.jpg"
2,13,35,"B098KVCFM8",true,27.99,"USD",59.99,32,53.34,125,4.7,"https://www.amazon.com/dp/B098KVCFM8","587.50",false,false,false,false,"FIFA 22 - PlayStation 4","https://m.media-amazon.com/images/I/81Phxg79cIL._AC_UY218_.jpg"
2,14,36,"B08HTHJ9L2",true,29.99,"USD",59.99,30,50.01,12,4.2,"https://www.amazon.com/dp/B08HTHJ9L2","50.40",false,false,false,false,"Riders Republic PlayStation 4 Standard Edition with free upgrade to the digital PS5 version","https://m.media-amazon.com/images/I/81wKskUsvzL._AC_UY218_.jpg"
2,15,37,"B09GVJT74H",false,33.99,"USD",0,0,0,3335,4.8,"https://www.amazon.com/dp/B09GVJT74H","16008.00",false,false,false,false,"CZN Replacement for PS4 Controller, Compatible with PS4/Pro/Slim, Gamepad/Joystick Intended for Wireless PS4 Controller (red)","https://m.media-amazon.com/images/I/61lsZx6IBQL._AC_UY218_.jpg"
2,16,38,"B09D23785P",true,27.99,"USD",59.99,32,53.34,48,4.4,"https://www.amazon.com/dp/B09D23785P","211.20",false,false,false,false,"NHL 22 - PlayStation 4","https://m.media-amazon.com/images/I/51TWJQFNiRL._AC_UY218_.jpg"
2,17,39,"B08QFXCNNZ",true,29.83,"USD",49.99,20.16,40.33,860,4.8,"https://www.amazon.com/dp/B08QFXCNNZ","4128.00",false,false,false,false,"Marvel's Spider-Man: Miles Morales - PlayStation 4","https://m.media-amazon.com/images/I/71LZm8RQ8LL._AC_UY218_.jpg"
2,18,40,"B09742GFC2",true,19.99,"USD",39.99,20,50.01,101,4.1,"https://www.amazon.com/dp/B09742GFC2","414.10",false,false,false,false,"Big Rumble Boxing: Creed Champions - PlayStation 4","https://m.media-amazon.com/images/I/81XEkiowbsL._AC_UY218_.jpg"
2,19,41,"B0998JW6J5",true,69.99,"USD",99.99,30,30,123,4.8,"https://www.amazon.com/dp/B0998JW6J5","590.40",false,false,false,false,"NBA 2K22 75th Anniversary Edition - PlayStation 4","https://m.media-amazon.com/images/I/9120gFb5FMS._AC_UY218_.jpg"
2,20,42,"B08CKPR8TN",true,39.99,"USD",59.99,20,33.34,358,4.4,"https://www.amazon.com/dp/B08CKPR8TN","1575.20",false,false,false,false,"Far Cry 6 PlayStation 4 Standard Edition with Free Upgrade to the Digital PS5 Version","https://m.media-amazon.com/images/I/81iAa2JPOiL._AC_UY218_.jpg"
2,21,43,"B08P4GMS66",false,19.86,"USD",0,0,0,50,4.2,"https://www.amazon.com/dp/B08P4GMS66","210.00",false,false,false,false,"Sponsored Ad - PS4 Controller Keyboard RALAN，PS4 Wireless Mini Bluetooth Keyboard Gamepad Chatpad Message Keyboard for Pla...","https://m.media-amazon.com/images/I/6124KHWqHkL._AC_UY218_.jpg"
2,22,44,"B08CKR6M86",true,89.99,"USD",109.99,20,18.18,43,4.3,"https://www.amazon.com/dp/B08CKR6M86","184.90",false,false,false,false,"Sponsored Ad - Far Cry 6 PlayStation 4 Gold Steelbook Edition with free upgrade to the digital PS5 version","https://m.media-amazon.com/images/I/91GLLEp9yOL._AC_UY218_.jpg"
